ID,Name,Type,Suitability,Height,Width,Position,Hardiness,Link,
,Crateagus lavallei,Tree,wet;dry;exposed;poor soil,,,,,,
,Fagus sylvatica,Tree,motorway;hedging;dry;native;specimen tree;lime tolerant,,,,,,
,Fagus sylvatica 'Purpurea',Tree,hedging;dry;specimen tree;lime tolerant,,,,,,
,Fraxinus angustifolia 'Raywood',Tree,wet;dry;street tree;specimen tree,,,,,,
,Fraxinus excelsior,Tree,wet;dry;street tree;specimen tree,,,,,,
,Malus 'John Downie',Tree,dry;specimen tree,,,,,,
,Malus tschonoskii,Tree,dry;street tree;specimen tree,,,,,,
,Platanus x acerifolia,Tree,wet;dry;poor soil;street tree;specimen tree,,,,,,
,Populus alba,Tree,wet;poor soil;native,,,,,,
,Populus nigra,Tree,wet;poor soil;native,,,,,,
,Populus tremula,Tree,wet;poor soil,,,,,,
,Prunus avium,Tree,motorway;native;specimen tree,,,,,,
,Prunus avium 'Plena',Tree,dry;street tree;specimen tree,,,,,,
,Prunus cerasifera 'Nigra',Tree,dry;street tree;specimen tree,,,,,,
,Prunus serrulata 'Kanzan',Tree,dry;street tree;specimen tree,,,,,,
,Prunus serrulata 'Taihaku',Tree,dry;street tree;specimen tree,,,,,,
,Pyrus x calleryana 'Chanticleer',Tree,street tree;specimen tree,,,,,,
,Quercus palustis,Tree,motorway;dry;street tree;specimen tree,,,,,,
,Quercus robur,Tree,motorway;dry;native;specimen tree,,,,,,
,Quercus rubra,Tree,dry;street tree;specimen tree,,,,,,
,Salix alba,Tree,wet;exposed;poor soil;native,,,,,,
,Sorbus aria,Tree,wet;dry;coastal;exposed;street tree;specimen tree,,,,,,
,Sorbus aria 'Lutescens',Tree,wet;dry;coastal;street tree;specimen tree,,,,,,
,Sorbus aucuparia,Tree,motorway;wet;dry;native;specimen tree,,,,,,
,Sorbus aucuparia 'Cardinal Royal',Tree,wet;dry;street tree;specimen tree,,,,,,
,Sorbus aucuparia 'Sheerwater Seedling',Tree,wet;dry;street tree;specimen tree,,,,,,
,Sorbus intermedia,Tree,wet;dry;street tree;specimen tree,,,,,,
,Tilia cordata,Tree,dry;poor soil;native;specimen tree;lime tolerant,,,,,,
,Tilia cordata 'Green Spire',Tree,dry;poor soil;street tree;specimen tree;lime tolerant,,,,,,
,Tilia platyphylos 'Rubra',Tree,dry;poor soil;specimen tree;lime tolerant,,,,,,
,Tilia x europaea 'Pallida',Tree,dry;poor soil;street tree;specimen tree;lime tolerant,,,,,,
