ID,Name,Type,Ground Cover,Motorway,Hedging,Wet,Dry,Coastal,Exposed,Poor soil,Native,Evergreen,Border_H,Specimen_H,Shade,Street_T,Specimen_T,Lime_T,Score
,Salvia officinalis 'Purpurascens',Perennial,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
,Salvia officinalis 'East Friesland',Perennial,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
,Sasa palmata,Perennial,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3
,Sedum 'Autumn Joy',Perennial,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,4
,Stachys byzantina,Perennial,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,4
,Stipa gigantea,Grass,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3
,Stipa tenuissima,Grass,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3
,Tellima grandiflora,Perennial,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4
,Tiarella cordifolia,Perennial,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4
,Acer campestre,Tree,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,6
,Acer platanoides,Tree,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,4
,Acer platanoides 'Crimson King',Tree,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,4
,Acer platanoides 'Emerald Queen',Tree,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,4
,Acer pseudoplatanus 'Erectum',Tree,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,6
,Aesculus hippocastanum 'Baumannii',Tree,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
,Alnus cordata,Tree,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,5
,Alnus glutinosa,Tree,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,5
,Alnus incana,Tree,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,5
,Betula pendula,Tree,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,4
,Betula utilis jacquemontii,Tree,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3
,Carpinus betulus,Tree,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3
,Carpinus betulus 'Fastigiata',Tree,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3
,Castanea sativa,Tree,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
,Corylus avellana,Tree,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,6
,Corylus colurna,Tree,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
,Crataegus laevigata 'Paul's Scarlet',Tree,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,4
,Crataegus monogyna,Tree,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,7
,Crataegus prunifolia,Tree,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,4
,Crateagus lavallei,Tree,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,4
,Fagus sylvatica,Tree,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,6
,Fagus sylvatica 'Purpurea',Tree,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,4
,Fraxinus angustifolia 'Raywood',Tree,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,4
,Fraxinus excelsior,Tree,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,4
,Malus 'John Downie',Tree,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
,Malus tschonoskii,Tree,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3
,Platanus x acerifolia,Tree,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,5
,Populus alba,Tree,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3
,Populus nigra,Tree,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3
,Populus tremula,Tree,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
,Prunus avium,Tree,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3
,Prunus avium 'Plena',Tree,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3
,Prunus cerasifera 'Nigra',Tree,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3
,Prunus serrulata 'Kanzan',Tree,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3
,Prunus serrulata 'Taihaku',Tree,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3
,Pyrus x calleryana 'Chanticleer',Tree,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
,Quercus palustis,Tree,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4
,Quercus robur,Tree,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,4
,Quercus rubra,Tree,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3
,Salix alba,Tree,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,4
,Sorbus aria,Tree,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,6
,Sorbus aria 'Lutescens',Tree,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,5
,Sorbus aucuparia,Tree,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,5
,Sorbus aucuparia 'Cardinal Royal',Tree,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,4
,Sorbus aucuparia 'Sheerwater Seedling',Tree,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,4
,Sorbus intermedia,Tree,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,4
,Tilia cordata,Tree,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,5
,Tilia cordata 'Green Spire',Tree,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,5
,Tilia platyphylos 'Rubra',Tree,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,4
,Tilia x europaea 'Pallida',Tree,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,5
